"Index","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2022-01-03",476.299988,477.850006,473.850006,477.709991,72668200,477.709991
"2022-01-04",479.220001,479.980011,475.579987,477.549988,71178700,477.549988
"2022-01-05",477.160004,477.980011,468.279999,468.380005,104538900,468.380005
"2022-01-06",467.890015,470.820007,465.429993,467.940002,86858900,467.940002
"2022-01-07",467.950012,469.200012,464.649994,466.089996,85064800,466.089996
"2022-01-10",462.700012,465.73999,456.600006,465.51001,119362000,465.51001
"2022-01-11",465.230011,469.850006,462.049988,469.75,74303100,469.75
"2022-01-12",471.589996,473.200012,468.940002,471.019989,67605400,471.019989
"2022-01-13",472.190002,472.880005,463.440002,464.529999,91173100,464.529999
"2022-01-14",461.190002,465.089996,459.899994,464.720001,95849600,464.720001
"2022-01-18",459.73999,459.959991,455.309998,456.48999,109709100,456.48999
"2022-01-19",458.130005,459.609985,451.459991,451.75,109357600,451.75
"2022-01-20",453.75,458.73999,444.5,446.75,122379700,446.75
"2022-01-21",445.559998,448.059998,437.950012,437.980011,202271200,437.980011
"2022-01-24",432.029999,440.380005,420.76001,439.839996,251783900,439.839996
"2022-01-25",433.059998,439.720001,427.149994,434.470001,167997300,434.470001
"2022-01-26",440.720001,444.040009,428.859985,433.380005,186391100,433.380005
"2022-01-27",438.26001,441.589996,429.450012,431.23999,149878300,431.23999
"2022-01-28",432.679993,442,427.820007,441.950012,164457400,441.950012
"2022-01-31",441.23999,450.279999,439.809998,449.910004,152251400,449.910004
"2022-02-01",450.679993,453.630005,446.940002,452.950012,123155400,452.950012
"2022-02-02",455.5,458.119995,453.049988,457.350006,117361000,457.350006
"2022-02-03",450.950012,452.970001,445.709991,446.600006,118024400,446.600006
"2022-02-04",446.350006,452.779999,443.829987,448.700012,118335600,448.700012
"2022-02-07",449.51001,450.98999,445.850006,447.26001,84472900,447.26001
"2022-02-08",446.730011,451.920013,445.220001,450.940002,81012000,450.940002
"2022-02-09",455.220001,457.880005,455.01001,457.540009,92589900,457.540009
"2022-02-10",451.339996,457.709991,447.200012,449.320007,140103700,449.320007
"2022-02-11",449.410004,451.609985,438.940002,440.459991,153064100,440.459991
"2022-02-14",439.920013,441.600006,435.339996,439.019989,123006300,439.019989
"2022-02-15",443.730011,446.279999,443.179993,446.100006,88482700,446.100006
"2022-02-16",443.929993,448.059998,441.940002,446.600006,84863600,446.600006
"2022-02-17",443.220001,446.570007,436.420013,437.059998,102259100,437.059998
"2022-02-18",437.329987,438.660004,431.820007,434.230011,132642900,434.230011
"2022-02-22",431.890015,435.5,425.859985,429.570007,124391800,429.570007
"2022-02-23",432.660004,433.26001,421.350006,421.950012,132578000,421.950012
"2022-02-24",411.019989,428.76001,410.640015,428.299988,213942900,428.299988
"2022-02-25",429.609985,437.839996,427.859985,437.75,121804500,437.75
"2022-02-28",432.029999,438.200012,430.700012,436.630005,145347600,436.630005
"2022-03-01",435.040009,437.170013,427.109985,429.980011,137785900,429.980011
"2022-03-02",432.369995,439.720001,431.570007,437.890015,117726500,437.890015
"2022-03-03",440.470001,441.109985,433.799988,435.709991,105501700,435.709991
"2022-03-04",431.75,433.369995,427.880005,432.170013,113978200,432.170013
"2022-03-07",431.549988,432.299988,419.359985,419.429993,137501700,419.429993
"2022-03-08",419.619995,427.200012,415.119995,416.25,162532724,416.25
